%time(s) 	 x-pos 	 y-pos 
3.05000000e+00	-1.77054843e-01	-7.19898825e-01
3.06000000e+00	-1.93730610e-01	-7.16174195e-01
3.07000000e+00	-2.10330062e-01	-7.12082804e-01
3.08000000e+00	-2.26845070e-01	-7.07624827e-01
3.09000000e+00	-2.43267403e-01	-7.02800590e-01
3.10000000e+00	-2.59588727e-01	-6.97610585e-01
3.11000000e+00	-2.75800605e-01	-6.92055475e-01
3.12000000e+00	-2.91894507e-01	-6.86136111e-01
3.13000000e+00	-3.07861807e-01	-6.79853538e-01
3.14000000e+00	-3.23693793e-01	-6.73209006e-01
3.15000000e+00	-3.39381669e-01	-6.66203985e-01
3.16000000e+00	-3.54916565e-01	-6.58840166e-01
3.17000000e+00	-3.70289541e-01	-6.51119481e-01
3.18000000e+00	-3.85491595e-01	-6.43044109e-01
3.19000000e+00	-4.00513677e-01	-6.34616481e-01
3.20000000e+00	-4.15346694e-01	-6.25839297e-01
3.21000000e+00	-4.29981521e-01	-6.16715529e-01
3.22000000e+00	-4.44409014e-01	-6.07248432e-01
3.23000000e+00	-4.58620022e-01	-5.97441551e-01
3.24000000e+00	-4.72605398e-01	-5.87298727e-01
3.25000000e+00	-4.86356014e-01	-5.76824101e-01
3.26000000e+00	-4.99862776e-01	-5.66022126e-01
3.27000000e+00	-5.13116634e-01	-5.54897565e-01
3.28000000e+00	-5.26108605e-01	-5.43455499e-01
3.29000000e+00	-5.38829779e-01	-5.31701326e-01
3.30000000e+00	-5.51271346e-01	-5.19640765e-01
3.31000000e+00	-5.63424603e-01	-5.07279854e-01
3.32000000e+00	-5.75280976e-01	-4.94624958e-01
3.33000000e+00	-5.86832030e-01	-4.81682758e-01
3.34000000e+00	-5.98069495e-01	-4.68460255e-01
3.35000000e+00	-6.08985279e-01	-4.54964759e-01
3.36000000e+00	-6.19571483e-01	-4.41203895e-01
3.37000000e+00	-6.29820417e-01	-4.27185587e-01
3.38000000e+00	-6.39724623e-01	-4.12918057e-01
3.39000000e+00	-6.49276883e-01	-3.98409817e-01
3.40000000e+00	-6.58470241e-01	-3.83669656e-01
3.41000000e+00	-6.67298013e-01	-3.68706635e-01
3.42000000e+00	-6.75753805e-01	-3.53530071e-01
3.43000000e+00	-6.83831528e-01	-3.38149528e-01
3.44000000e+00	-6.91525407e-01	-3.22574800e-01
3.45000000e+00	-6.98829997e-01	-3.06815903e-01
3.46000000e+00	-7.05740195e-01	-2.90883056e-01
3.47000000e+00	-7.12251247e-01	-2.74786666e-01
3.48000000e+00	-7.18358761e-01	-2.58537313e-01
3.49000000e+00	-7.24058715e-01	-2.42145728e-01
3.50000000e+00	-7.29347464e-01	-2.25622784e-01
3.51000000e+00	-7.34221747e-01	-2.08979471e-01
3.52000000e+00	-7.38678692e-01	-1.92226882e-01
3.53000000e+00	-7.42715818e-01	-1.75376189e-01
3.54000000e+00	-7.46331045e-01	-1.58438631e-01
3.55000000e+00	-7.49522687e-01	-1.41425490e-01
3.56000000e+00	-7.52289457e-01	-1.24348074e-01
3.57000000e+00	-7.54630467e-01	-1.07217696e-01
3.58000000e+00	-7.56545223e-01	-9.00456599e-02
3.59000000e+00	-7.58033627e-01	-7.28432356e-02
3.60000000e+00	-7.59095967e-01	-5.56216465e-02
3.61000000e+00	-7.59732916e-01	-3.83920469e-02
3.62000000e+00	-7.59945523e-01	-2.11655084e-02
3.63000000e+00	-7.59735206e-01	-3.95300077e-03
3.64000000e+00	-7.59103748e-01	1.32346225e-02
3.65000000e+00	-7.58053280e-01	3.03866425e-02
3.66000000e+00	-7.56586277e-01	4.74924865e-02
3.67000000e+00	-7.54705545e-01	6.45417440e-02
3.68000000e+00	-7.52414209e-01	8.15241776e-02
