t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50
1.12588634e+01,1.01969720e+01,1.00532929e+01,1.00169003e+01,1.00057783e+01,1.00020607e+01,1.00007538e+01,1.00002800e+01,1.00001049e+01,1.00000395e+01,1.00000149e+01,1.00000056e+01,1.00000021e+01,1.00000008e+01,1.00000003e+01,1.00000001e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000001e+01,1.00000003e+01,1.00000008e+01,1.00000021e+01,1.00000056e+01,1.00000149e+01,1.00000395e+01,1.00001049e+01,1.00002800e+01,1.00007538e+01,1.00020607e+01,1.00057783e+01,1.00169003e+01,1.00532929e+01,1.01969720e+01,1.12588634e+01
1.12686766e+01,1.02000945e+01,1.00545190e+01,1.00174051e+01,1.00059900e+01,1.00021501e+01,1.00007915e+01,1.00002959e+01,1.00001116e+01,1.00000423e+01,1.00000160e+01,1.00000061e+01,1.00000023e+01,1.00000009e+01,1.00000003e+01,1.00000001e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000001e+01,1.00000003e+01,1.00000009e+01,1.00000023e+01,1.00000061e+01,1.00000160e+01,1.00000423e+01,1.00001116e+01,1.00002959e+01,1.00007915e+01,1.00021501e+01,1.00059900e+01,1.00174051e+01,1.00545190e+01,1.02000945e+01,1.12686766e+01
1.12784274e+01,1.02032222e+01,1.00557554e+01,1.00179175e+01,1.00062062e+01,1.00022420e+01,1.00008306e+01,1.00003125e+01,1.00001186e+01,1.00000452e+01,1.00000173e+01,1.00000066e+01,1.00000025e+01,1.00000009e+01,1.00000004e+01,1.00000001e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000001e+01,1.00000004e+01,1.00000009e+01,1.00000025e+01,1.00000066e+01,1.00000173e+01,1.00000452e+01,1.00001186e+01,1.00003125e+01,1.00008306e+01,1.00022420e+01,1.00062062e+01,1.00179175e+01,1.00557554e+01,1.02032222e+01,1.12784274e+01
1.12881163e+01,1.02063549e+01,1.00570019e+01,1.00184374e+01,1.00064270e+01,1.00023364e+01,1.00008710e+01,1.00003298e+01,1.00001260e+01,1.00000483e+01,1.00000186e+01,1.00000071e+01,1.00000027e+01,1.00000010e+01,1.00000004e+01,1.00000001e+01,1.00000001e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000001e+01,1.00000001e+01,1.00000004e+01,1.00000010e+01,1.00000027e+01,1.00000071e+01,1.00000186e+01,1.00000483e+01,1.00001260e+01,1.00003298e+01,1.00008710e+01,1.00023364e+01,1.00064270e+01,1.00184374e+01,1.00570019e+01,1.02063549e+01,1.12881163e+01
1.12977442e+01,1.02094922e+01,1.00582586e+01,1.00189647e+01,1.00066523e+01,1.00024333e+01,1.00009128e+01,1.00003477e+01,1.00001337e+01,1.00000516e+01,1.00000200e+01,1.00000077e+01,1.00000030e+01,1.00000011e+01,1.00000004e+01,1.00000002e+01,1.00000001e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000001e+01,1.00000002e+01,1.00000004e+01,1.00000011e+01,1.00000030e+01,1.00000077e+01,1.00000200e+01,1.00000516e+01,1.00001337e+01,1.00003477e+01,1.00009128e+01,1.00024333e+01,1.00066523e+01,1.00189647e+01,1.00582586e+01,1.02094922e+01,1.12977442e+01
1.13073116e+01,1.02126338e+01,1.00595251e+01,1.00194996e+01,1.00068822e+01,1.00025328e+01,1.00009559e+01,1.00003664e+01,1.00001417e+01,1.00000550e+01,1.00000214e+01,1.00000083e+01,1.00000032e+01,1.00000012e+01,1.00000005e+01,1.00000002e+01,1.00000001e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000001e+01,1.00000002e+01,1.00000005e+01,1.00000012e+01,1.00000032e+01,1.00000083e+01,1.00000214e+01,1.00000550e+01,1.00001417e+01,1.00003664e+01,1.00009559e+01,1.00025328e+01,1.00068822e+01,1.00194996e+01,1.00595251e+01,1.02126338e+01,1.13073116e+01
1.13168191e+01,1.02157797e+01,1.00608014e+01,1.00200418e+01,1.00071166e+01,1.00026349e+01,1.00010004e+01,1.00003857e+01,1.00001501e+01,1.00000587e+01,1.00000230e+01,1.00000090e+01,1.00000035e+01,1.00000014e+01,1.00000005e+01,1.00000002e+01,1.00000001e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000001e+01,1.00000002e+01,1.00000005e+01,1.00000014e+01,1.00000035e+01,1.00000090e+01,1.00000230e+01,1.00000587e+01,1.00001501e+01,1.00003857e+01,1.00010004e+01,1.00026349e+01,1.00071166e+01,1.00200418e+01,1.00608014e+01,1.02157797e+01,1.13168191e+01
1.13262674e+01,1.02189296e+01,1.00620874e+01,1.00205914e+01,1.00073557e+01,1.00027396e+01,1.00010463e+01,1.00004058e+01,1.00001588e+01,1.00000624e+01,1.00000246e+01,1.00000097e+01,1.00000038e+01,1.00000015e+01,1.00000006e+01,1.00000002e+01,1.00000001e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000001e+01,1.00000002e+01,1.00000006e+01,1.00000015e+01,1.00000038e+01,1.00000097e+01,1.00000246e+01,1.00000624e+01,1.00001588e+01,1.00004058e+01,1.00010463e+01,1.00027396e+01,1.00073557e+01,1.00205914e+01,1.00620874e+01,1.02189296e+01,1.13262674e+01
1.13356571e+01,1.02220831e+01,1.00633829e+01,1.00211484e+01,1.00075994e+01,1.00028469e+01,1.00010936e+01,1.00004266e+01,1.00001679e+01,1.00000664e+01,1.00000263e+01,1.00000104e+01,1.00000041e+01,1.00000016e+01,1.00000006e+01,1.00000002e+01,1.00000001e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000001e+01,1.00000002e+01,1.00000006e+01,1.00000016e+01,1.00000041e+01,1.00000104e+01,1.00000263e+01,1.00000664e+01,1.00001679e+01,1.00004266e+01,1.00010936e+01,1.00028469e+01,1.00075994e+01,1.00211484e+01,1.00633829e+01,1.02220831e+01,1.13356571e+01
1.13449888e+01,1.02252402e+01,1.00646877e+01,1.00217126e+01,1.00078476e+01,1.00029569e+01,1.00011424e+01,1.00004482e+01,1.00001775e+01,1.00000706e+01,1.00000281e+01,1.00000112e+01,1.00000044e+01,1.00000018e+01,1.00000007e+01,1.00000003e+01,1.00000001e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000001e+01,1.00000003e+01,1.00000007e+01,1.00000018e+01,1.00000044e+01,1.00000112e+01,1.00000281e+01,1.00000706e+01,1.00001775e+01,1.00004482e+01,1.00011424e+01,1.00029569e+01,1.00078476e+01,1.00217126e+01,1.00646877e+01,1.02252402e+01,1.13449888e+01
1.13542631e+01,1.02284005e+01,1.00660018e+01,1.00222841e+01,1.00081005e+01,1.00030695e+01,1.00011927e+01,1.00004706e+01,1.00001874e+01,1.00000750e+01,1.00000300e+01,1.00000120e+01,1.00000048e+01,1.00000019e+01,1.00000008e+01,1.00000003e+01,1.00000001e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000001e+01,1.00000003e+01,1.00000008e+01,1.00000019e+01,1.00000048e+01,1.00000120e+01,1.00000300e+01,1.00000750e+01,1.00001874e+01,1.00004706e+01,1.00011927e+01,1.00030695e+01,1.00081005e+01,1.00222841e+01,1.00660018e+01,1.02284005e+01,1.13542631e+01
1.13634806e+01,1.02315639e+01,1.00673250e+01,1.00228629e+01,1.00083580e+01,1.00031848e+01,1.00012444e+01,1.00004937e+01,1.00001977e+01,1.00000795e+01,1.00000320e+01,1.00000129e+01,1.00000052e+01,1.00000021e+01,1.00000008e+01,1.00000003e+01,1.00000001e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000001e+01,1.00000003e+01,1.00000008e+01,1.00000021e+01,1.00000052e+01,1.00000129e+01,1.00000320e+01,1.00000795e+01,1.00001977e+01,1.00004937e+01,1.00012444e+01,1.00031848e+01,1.00083580e+01,1.00228629e+01,1.00673250e+01,1.02315639e+01,1.13634806e+01
1.13726418e+01,1.02347303e+01,1.00686572e+01,1.00234488e+01,1.00086202e+01,1.00033029e+01,1.00012976e+01,1.00005177e+01,1.00002084e+01,1.00000843e+01,1.00000342e+01,1.00000138e+01,1.00000056e+01,1.00000022e+01,1.00000009e+01,1.00000004e+01,1.00000001e+01,1.00000001e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000001e+01,1.00000001e+01,1.00000004e+01,1.00000009e+01,1.00000022e+01,1.00000056e+01,1.00000138e+01,1.00000342e+01,1.00000843e+01,1.00002084e+01,1.00005177e+01,1.00012976e+01,1.00033029e+01,1.00086202e+01,1.00234488e+01,1.00686572e+01,1.02347303e+01,1.13726418e+01
1.13817474e+01,1.02378993e+01,1.00699982e+01,1.00240419e+01,1.00088869e+01,1.00034237e+01,1.00013524e+01,1.00005425e+01,1.00002196e+01,1.00000893e+01,1.00000364e+01,1.00000148e+01,1.00000060e+01,1.00000024e+01,1.00000010e+01,1.00000004e+01,1.00000002e+01,1.00000001e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000001e+01,1.00000002e+01,1.00000004e+01,1.00000010e+01,1.00000024e+01,1.00000060e+01,1.00000148e+01,1.00000364e+01,1.00000893e+01,1.00002196e+01,1.00005425e+01,1.00013524e+01,1.00034237e+01,1.00088869e+01,1.00240419e+01,1.00699982e+01,1.02378993e+01,1.13817474e+01
1.13907979e+01,1.02410708e+01,1.00713479e+01,1.00246420e+01,1.00091584e+01,1.00035472e+01,1.00014087e+01,1.00005681e+01,1.00002312e+01,1.00000946e+01,1.00000387e+01,1.00000158e+01,1.00000065e+01,1.00000026e+01,1.00000011e+01,1.00000004e+01,1.00000002e+01,1.00000001e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000001e+01,1.00000002e+01,1.00000004e+01,1.00000011e+01,1.00000026e+01,1.00000065e+01,1.00000158e+01,1.00000387e+01,1.00000946e+01,1.00002312e+01,1.00005681e+01,1.00014087e+01,1.00035472e+01,1.00091584e+01,1.00246420e+01,1.00713479e+01,1.02410708e+01,1.13907979e+01
1.13997939e+01,1.02442445e+01,1.00727062e+01,1.00252493e+01,1.00094344e+01,1.00036735e+01,1.00014666e+01,1.00005946e+01,1.00002433e+01,1.00001000e+01,1.00000412e+01,1.00000169e+01,1.00000070e+01,1.00000028e+01,1.00000012e+01,1.00000005e+01,1.00000002e+01,1.00000001e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000001e+01,1.00000002e+01,1.00000005e+01,1.00000012e+01,1.00000028e+01,1.00000070e+01,1.00000169e+01,1.00000412e+01,1.00001000e+01,1.00002433e+01,1.00005946e+01,1.00014666e+01,1.00036735e+01,1.00094344e+01,1.00252493e+01,1.00727062e+01,1.02442445e+01,1.13997939e+01
1.14087359e+01,1.02474204e+01,1.00740730e+01,1.00258635e+01,1.00097151e+01,1.00038026e+01,1.00015260e+01,1.00006219e+01,1.00002558e+01,1.00001057e+01,1.00000438e+01,1.00000181e+01,1.00000075e+01,1.00000031e+01,1.00000013e+01,1.00000005e+01,1.00000002e+01,1.00000001e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000001e+01,1.00000002e+01,1.00000005e+01,1.00000013e+01,1.00000031e+01,1.00000075e+01,1.00000181e+01,1.00000438e+01,1.00001057e+01,1.00002558e+01,1.00006219e+01,1.00015260e+01,1.00038026e+01,1.00097151e+01,1.00258635e+01,1.00740730e+01,1.02474204e+01,1.14087359e+01
1.14176245e+01,1.02505983e+01,1.00754481e+01,1.00264847e+01,1.00100004e+01,1.00039345e+01,1.00015871e+01,1.00006501e+01,1.00002687e+01,1.00001116e+01,1.00000465e+01,1.00000193e+01,1.00000080e+01,1.00000033e+01,1.00000014e+01,1.00000006e+01,1.00000002e+01,1.00000001e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000001e+01,1.00000002e+01,1.00000006e+01,1.00000014e+01,1.00000033e+01,1.00000080e+01,1.00000193e+01,1.00000465e+01,1.00001116e+01,1.00002687e+01,1.00006501e+01,1.00015871e+01,1.00039345e+01,1.00100004e+01,1.00264847e+01,1.00754481e+01,1.02505983e+01,1.14176245e+01
1.14264602e+01,1.02537778e+01,1.00768314e+01,1.00271129e+01,1.00102904e+01,1.00040692e+01,1.00016497e+01,1.00006792e+01,1.00002822e+01,1.00001178e+01,1.00000493e+01,1.00000206e+01,1.00000086e+01,1.00000036e+01,1.00000015e+01,1.00000006e+01,1.00000002e+01,1.00000001e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000001e+01,1.00000002e+01,1.00000006e+01,1.00000015e+01,1.00000036e+01,1.00000086e+01,1.00000206e+01,1.00000493e+01,1.00001178e+01,1.00002822e+01,1.00006792e+01,1.00016497e+01,1.00040692e+01,1.00102904e+01,1.00271129e+01,1.00768314e+01,1.02537778e+01,1.14264602e+01
